epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4674.37,0.98299,0.50489,1.14823,0.97781,0.97203,0.98657,0.71453,0.9655,0.39892,1.1961,0.0007294,0.0007294,0.0007294
43,4783.87,0.97638,0.51462,1.1575,0.98404,0.96691,0.98601,0.74922,0.88917,0.38616,1.14961,0.0007228,0.0007228,0.0007228
44,4893.59,0.98482,0.52351,1.14555,0.97447,0.9649,0.9866,0.68396,1.07334,0.42647,1.24546,0.0007162,0.0007162,0.0007162
45,5002.58,1.00603,0.52615,1.16217,0.9704,0.96554,0.98787,0.75196,0.87159,0.37903,1.14622,0.0007096,0.0007096,0.0007096
46,5112.25,0.98823,0.50465,1.15163,0.98221,0.94762,0.98475,0.68477,1.06753,0.42432,1.24485,0.000703,0.000703,0.000703
47,5221.85,0.98141,0.49357,1.15238,0.97236,0.97195,0.98743,0.75925,0.84638,0.35997,1.13992,0.0006964,0.0006964,0.0006964
48,5331.44,0.94056,0.4875,1.1307,0.98538,0.95789,0.98655,0.67931,1.04622,0.43779,1.2309,0.0006898,0.0006898,0.0006898
49,5441.24,0.95427,0.50265,1.14042,0.97797,0.96717,0.98759,0.68651,1.0583,0.41462,1.24607,0.0006832,0.0006832,0.0006832
50,5550.48,0.97108,0.50674,1.14011,0.98303,0.96604,0.98711,0.73874,0.91772,0.38288,1.16448,0.0006766,0.0006766,0.0006766
51,5660.53,0.9771,0.49597,1.15305,0.97537,0.96001,0.98279,0.76413,0.82007,0.37092,1.12566,0.00067,0.00067,0.00067
52,5773.03,0.9278,0.46814,1.12435,0.98007,0.98055,0.98758,0.75924,0.86273,0.35621,1.1391,0.0006634,0.0006634,0.0006634
53,5882.89,0.97802,0.49463,1.14914,0.98789,0.9765,0.98971,0.77,0.79867,0.34921,1.11161,0.0006568,0.0006568,0.0006568
54,5995.74,0.9378,0.47927,1.12732,0.98778,0.96715,0.98686,0.7073,1.019,0.3885,1.21212,0.0006502,0.0006502,0.0006502
55,6105.93,0.92141,0.46289,1.11236,0.97903,0.97293,0.98538,0.71668,0.98098,0.38028,1.20592,0.0006436,0.0006436,0.0006436
56,6215.5,0.94396,0.48231,1.12443,0.98293,0.97464,0.9866,0.7131,1.00485,0.39145,1.19984,0.000637,0.000637,0.000637
57,6325.7,0.94294,0.48195,1.129,0.98173,0.97747,0.9893,0.70882,0.97376,0.37587,1.18545,0.0006304,0.0006304,0.0006304
58,6434.84,0.93973,0.47799,1.12861,0.97019,0.9846,0.9897,0.74069,0.92112,0.36997,1.15896,0.0006238,0.0006238,0.0006238
59,6543.76,0.92741,0.48038,1.11468,0.97698,0.98245,0.98844,0.7106,0.97294,0.37633,1.18129,0.0006172,0.0006172,0.0006172
60,6653.91,0.93248,0.47578,1.12563,0.98601,0.97439,0.98892,0.68128,1.08723,0.40598,1.24905,0.0006106,0.0006106,0.0006106
61,6763.31,0.9319,0.4728,1.11653,0.9792,0.96786,0.9886,0.67202,1.12639,0.41335,1.27383,0.000604,0.000604,0.000604
62,6873.73,0.94165,0.46535,1.12034,0.98118,0.97259,0.98825,0.72111,0.95827,0.37322,1.17771,0.0005974,0.0005974,0.0005974
63,6982.4,0.9144,0.45134,1.11484,0.98454,0.97813,0.98888,0.67008,1.13614,0.40214,1.25941,0.0005908,0.0005908,0.0005908
64,7092.07,0.89354,0.4534,1.10081,0.98916,0.97681,0.9903,0.69455,1.08112,0.39351,1.26348,0.0005842,0.0005842,0.0005842
65,7202.69,0.92117,0.4541,1.10008,0.98729,0.97806,0.9871,0.77252,0.80835,0.33743,1.11079,0.0005776,0.0005776,0.0005776
66,7317.08,0.90426,0.45391,1.10899,0.98225,0.97889,0.98735,0.68317,1.06028,0.38681,1.22254,0.000571,0.000571,0.000571
67,7427.02,0.93706,0.46758,1.119,0.98328,0.98145,0.98932,0.72319,0.96919,0.37128,1.18303,0.0005644,0.0005644,0.0005644
68,7536.36,0.89855,0.4503,1.10825,0.97905,0.98545,0.98842,0.75686,0.8623,0.33955,1.13874,0.0005578,0.0005578,0.0005578
69,7645.93,0.90043,0.45702,1.11636,0.97983,0.97206,0.98725,0.66456,1.14447,0.41236,1.2853,0.0005512,0.0005512,0.0005512
70,7755.92,0.90535,0.4491,1.11077,0.96971,0.97854,0.98896,0.73066,0.91411,0.37079,1.16056,0.0005446,0.0005446,0.0005446
71,7864.21,0.87594,0.44148,1.09226,0.98538,0.97601,0.98846,0.70912,1.00332,0.37384,1.20292,0.000538,0.000538,0.000538
72,7974.8,0.88712,0.43749,1.0971,0.97994,0.97621,0.98782,0.70217,1.04258,0.37636,1.22385,0.0005314,0.0005314,0.0005314
73,8084.05,0.8833,0.43634,1.09006,0.98466,0.9672,0.98706,0.5958,1.38554,0.45784,1.43004,0.0005248,0.0005248,0.0005248
74,8192.99,0.89257,0.44576,1.10329,0.984,0.97309,0.98863,0.65447,1.17908,0.41319,1.28246,0.0005182,0.0005182,0.0005182
75,8303.01,0.89121,0.44387,1.1064,0.98475,0.97476,0.9901,0.70823,1.0213,0.37762,1.22006,0.0005116,0.0005116,0.0005116
